Date,DAU,Installs,Uninstalls,Signups,Referrals,total users,,,,,,
10/1/2022,24071,6630,6994,3511,962,27218,,,,,,
10/2/2022,23548,6366,6669,3387,941,26632,,,,,,
10/3/2022,24572,6936,6899,3654,940,28263,,,,,,
10/4/2022,24212,6561,6766,3532,960,27539,,,,,,
10/5/2022,23247,6059,6402,3315,923,26219,,,,,,
10/6/2022,24330,6230,6780,3288,822,27068,,,,,,
10/7/2022,24213,6925,7073,3562,957,27627,,,,,,
10/8/2022,25099,7826,7790,4110,994,29245,,,,,,
10/9/2022,24099,8937,8149,4114,1016,29001,,,,,,
10/10/2022,25156,8139,8215,4974,1186,30054,,,,,,
10/11/2022,24497,7308,7532,4347,1161,28620,,,,,,
10/12/2022,24152,8020,7867,4404,1193,28709,,,,,,
10/13/2022,24094,7097,7081,4211,987,28321,,,,,,
10/14/2022,21589,6729,7065,3494,860,24747,,,,,,
10/15/2022,20829,5659,6519,2967,772,22936,,,,,,
10/16/2022,22222,5861,6552,3096,1052,24627,,,,,,
10/17/2022,20943,5860,6455,2828,801,23176,,,,,,
10/18/2022,20180,6070,6611,2559,572,22198,,,,,,
10/19/2022,19737,5267,6102,2278,606,21180,,,,,,
10/20/2022,20148,5467,6125,2854,700,22344,,,,,,
10/21/2022,17343,3845,4916,1726,512,17998,,,,,,
10/22/2022,16270,3703,4727,1705,530,16951,,,,,,
10/23/2022,15223,3397,4314,1545,484,15851,,,,,,
10/24/2022,13482,3074,3904,1363,384,14015,,,,,,
10/25/2022,14244,3714,4541,1658,435,15075,,,,,,
10/26/2022,14659,3885,4564,1740,491,15720,,,,,,
10/27/2022,14896,3707,4563,1905,551,15945,,,,,,
10/28/2022,14473,3735,4381,1799,555,15626,,,,,,
10/29/2022,13390,4072,4695,1872,536,14639,,,,,,
10/30/2022,13370,3543,4343,1942,573,14512,,,,,,
10/31/2022,13236,3313,4057,1562,419,14054,,,,,,
11/1/2022,12816,3763,4149,1806,432.5599016,14236,,,,,,
11/2/2022,12812,3087,3868,1550,405.6153416,13581,,,,,,
11/3/2022,12042,3176,3815,1410,374.0464139,12813,,,,,,
11/4/2022,12595,3172,3878,1629,401.8122662,13518,,,,,,
11/5/2022,12361,3390,4021,1578,392.7532899,13308,,,,,,
11/6/2022,13166,3441,4071,1656,429.6182265,14192,,,,,,
11/7/2022,12565,3468,4011,1556,402.7179109,13578,,,,,,
11/8/2022,12988,4468,4143,1808,468.5830926,15121,,,,,,
11/9/2022,12992,4491,4638,2017,456.6018181,14862,,,,,,
11/10/2022,13377,4261,4480,1997,469.0636336,15155,,,,,,
11/11/2022,13826,4274,4512,2047,490.7284254,15635,,,,,,
11/12/2022,13464,4660,4856,2066,478.0907094,15334,,,,,,
11/13/2022,13415,4416,4749,2147,475.0905776,15229,,,,,,
11/14/2022,13873,4097,4305,2065,494.5082634,15730,,,,,,
11/15/2022,14459,4890,4593,2707,560.5568451,17463,,,,,,
